"","A. Boudribila, A. Tajer and Z. Boulghasoul / Data in Brief 62 (2025) 111938
13"
"Table 10",""
"Reformulated Requirement Speciﬁcations Generated by LLMs.",""
"Source","Reformulated Requirement Speciﬁcation"
"Original","The system consists of a conveyor belt driven by an electric motor. A normally open start"
"","button is used to initiate the transport cycle. When the start button is pressed, the start"
"","light is turned on and the conveyor motor is activated. A photoelectric exit sensor is"
"","installed at the end of the conveyor. When the sensor detects the presence of a box, the"
"","conveyor motor stops and the start light turns off. The system waits for the next press of"
"","the start button to repeat the cycle."
"ChatGPT","This automated system includes a conveyor belt driven by a motor. A normally open start"
"(Pro Version)","button is provided to launch the transport cycle. Once pressed, the system powers on the"
"","start light and sets the motor in motion to drive the conveyor. A photoelectric presence"
"","sensor installed at the discharge point detects incoming boxes. When a box is detected, the"
"","motor stops and the start light is turned off. The system then resets and waits for the next"
"","cycle to be initiated by pressing the start button."
"Claude","In this system, a conveyor belt is driven by an electric motor. The transport cycle is initiated"
"(Pro Version)","by pressing a normally open start button. Once pressed, the start light is activated and the"
"","motor powers the conveyor. At the end of the conveyor, a photoelectric exit sensor monitors"
"","for boxes. When a box is detected, the motor is stopped and the start light is turned off."
"","The system then waits for another start button press to begin the next operation."
"Mistral","This system uses an electric motor to drive a conveyor belt. The transport process is"
"(Pro Version)","triggered by a normally open push button start. Pressing this button switches on the start"
"","light and activates the conveyor motor. At the end of the belt, a photoelectric sensor is"
"","installed to monitor for the presence of boxes. When the sensor detects a box, the motor is"
"","stopped and the start light is turned off. The cycle is then paused until the operator presses"
"","the start button again."
